Region,Annee,Production_Eau_totale_m3
Béni Mellal - Khénifra,2022,73574513.0
Béni Mellal - Khénifra,2023,76159151.0
Casablanca - Settat,2022,1265525.0
Casablanca - Settat,2023,1022558.0
Drâa - Tafilalet,2022,3644186.0
Drâa - Tafilalet,2023,3383267.0
Fès - Meknès,2022,41393344.0
Fès - Meknès,2023,33290883.0
L'Oriental,2022,55688800.0
L'Oriental,2023,58747097.0
Marrakech - Safi,2022,44502940.0
Marrakech - Safi,2023,47093716.0
Rabat - Salé - Kénitra,2022,19509375.0
Rabat - Salé - Kénitra,2023,20536351.0
Souss - Massa,2022,25980960.0
Souss - Massa,2023,17273486.0
Tanger - Tétouan - Al Hoceima,2022,30749668.0
Tanger - Tétouan - Al Hoceima,2023,34621361.0
