Region,Annee,Ventes_Electricite_Mm_KWh
Tanger - Tétouan - Al Hoceima,2023,4027.4006
Tanger - Tétouan - Al Hoceima,2022,4005.2577
L'Oriental,2023,1800.0324
L'Oriental,2022,1758.5535
Fès - Meknès,2023,3081.0883
Fès - Meknès,2022,3008.5977
Rabat - Salé - Kénitra,2023,4813.0417
Rabat - Salé - Kénitra,2022,4694.4205
Marrakech - Safi,2023,3961.3734
Marrakech - Safi,2022,3739.8498
Souss - Massa,2023,3046.3386
Souss - Massa,2022,2878.8405
Guelmim - Oued Noun,2023,255.0564
Guelmim - Oued Noun,2022,258.3963
Laâyoune - Sakia El Hamra,2023,427.8591
Laâyoune - Sakia El Hamra,2022,415.1832
Dakhla - Oued Ed-Dahab,2023,216.4602
Dakhla - Oued Ed-Dahab,2022,208.2323
