Region,Annee,A00_Agriculture,A05_Peche,B00_Extraction,C00_Industrie_Manuf,DE0_Elec_Eau,F00_Construction,G00_Commerce,H00_Transport,I00_Hebergement,J00_InfoComm,K00_Finance,L68_Immobilier,MN0_Recherche,O84_AdminPublique,PQ8_Education,RS0_Autres,IS_Pt_Impots_Nets,PIB_Regional_MDH
Tanger - Tétouan - Al Hoceima,2022,12107.0,471.0,0.0,37724.0,1544.0,7342.0,14143.0,4787.0,4514.0,253.0,2201.0,10639.0,7013.0,9522.0,11009.0,1761.0,13984.0,139014.0
L'Oriental,2022,10742.0,71.0,728.0,2594.0,1908.0,7824.0,12756.0,1769.0,1592.0,209.0,1278.0,4161.0,3220.0,8336.0,5071.0,339.0,5819.0,68417.0
Fès - Meknès,2022,22828.0,0.0,24.0,6185.0,888.0,5824.0,16029.0,3357.0,3312.0,331.0,2869.0,7092.0,4677.0,10359.0,12640.0,1716.0,7916.0,105747.0
Rabat - Salé - Kénitra,2022,21465.0,56.0,87.0,17039.0,6553.0,11127.0,19397.0,6944.0,4233.0,16592.0,10512.0,15920.0,10808.0,37045.0,14682.0,3034.0,18511.0,214006.0
Béni Mellal - Khénifra,2022,11515.0,0.0,21281.0,1376.0,545.0,4715.0,8537.0,2583.0,1495.0,214.0,658.0,3664.0,3896.0,6094.0,6698.0,983.0,7560.0,81814.0
Casablanca - Settat,2022,13277.0,187.0,238.0,124119.0,12605.0,18541.0,37605.0,9848.0,7976.0,14585.0,36903.0,29194.0,22130.0,20739.0,17537.0,4133.0,48140.0,417758.0
Marrakech - Safi,2022,9907.0,304.0,6668.0,5266.0,1115.0,6178.0,17851.0,3745.0,12434.0,243.0,2612.0,7588.0,5592.0,7717.0,10543.0,2191.0,10445.0,110398.0
Drâa - Tafilalet,2022,7599.0,0.0,2048.0,163.0,119.0,4613.0,4728.0,1818.0,1395.0,127.0,302.0,2239.0,1783.0,3841.0,4887.0,654.0,3025.0,39341.0
Souss - Massa,2022,14083.0,1188.0,746.0,8692.0,351.0,3370.0,11754.0,2621.0,7377.0,218.0,2494.0,6287.0,4114.0,8023.0,8262.0,751.0,7270.0,87603.0
Guelmim - Oued Noun,2022,550.0,707.0,0.0,622.0,272.0,1811.0,1290.0,593.0,259.0,28.0,101.0,1319.0,1130.0,7338.0,2516.0,217.0,1264.0,20016.0
Laâyoune - Sakia El Hamra,2022,177.0,1484.0,2300.0,4287.0,185.0,3519.0,1330.0,425.0,402.0,42.0,621.0,1398.0,1615.0,5667.0,2447.0,285.0,3169.0,29354.0
Dakhla - Oued Ed-Dahab,2022,377.0,1840.0,0.0,599.0,135.0,894.0,471.0,56.0,95.0,8.0,124.0,883.0,875.0,7038.0,992.0,86.0,1170.0,15643.0
