Region,Annee,Nb_Plages
L'Oriental,2023,16
L'Oriental,2022,16
Tanger - Tétouan - Al Hoceima,2023,74
Tanger - Tétouan - Al Hoceima,2022,72
Rabat - Salé - Kénitra,2023,18
Rabat - Salé - Kénitra,2022,18
Casablanca - Settat,2023,39
Casablanca - Settat,2022,39
Marrakech - Safi,2023,10
Marrakech - Safi,2022,10
Souss - Massa,2023,17
Souss - Massa,2022,17
Guelmim - Oued Noun,2023,8
Guelmim - Oued Noun,2022,8
Laâyoune - Sakia El Hamra,2023,9
Laâyoune - Sakia El Hamra,2022,9
Dakhla - Oued Ed-Dahab,2023,5
Dakhla - Oued Ed-Dahab,2022,4
