Region,Annee,Milieu,Population
Tanger - Tétouan - Al Hoceima,2023,Total,3942576
Tanger - Tétouan - Al Hoceima,2022,Total,3900359
Tanger - Tétouan - Al Hoceima,2023,Urbain,2490225
Tanger - Tétouan - Al Hoceima,2022,Urbain,2450383
Tanger - Tétouan - Al Hoceima,2023,Rural,1452351
Tanger - Tétouan - Al Hoceima,2022,Rural,1449976
L'Oriental,2023,Total,2532440
L'Oriental,2022,Total,2505730
L'Oriental,2023,Urbain,1868772
L'Oriental,2022,Urbain,1827447
L'Oriental,2023,Rural,663668
L'Oriental,2022,Rural,678283
Fès - Meknès,2023,Total,4486674
Fès - Meknès,2022,Total,4460667
Fès - Meknès,2023,Urbain,2923926
Fès - Meknès,2022,Urbain,2885044
Fès - Meknès,2023,Rural,1562748
Fès - Meknès,2022,Rural,1575623
Rabat - Salé - Kénitra,2023,Total,5008353
Rabat - Salé - Kénitra,2022,Total,4962561
Rabat - Salé - Kénitra,2023,Urbain,3670902
Rabat - Salé - Kénitra,2022,Urbain,3619452
Rabat - Salé - Kénitra,2023,Rural,1337451
Rabat - Salé - Kénitra,2022,Rural,1343109
Béni Mellal - Khénifra,2023,Total,2656384
Béni Mellal - Khénifra,2022,Total,2642554
Béni Mellal - Khénifra,2023,Urbain,1407866
Béni Mellal - Khénifra,2022,Urbain,1389660
Béni Mellal - Khénifra,2023,Rural,1248518
Béni Mellal - Khénifra,2022,Rural,1252894
Casablanca - Settat,2023,Total,7688562
Casablanca - Settat,2022,Total,7596040
Casablanca - Settat,2023,Urbain,5983417
Casablanca - Settat,2022,Urbain,5878361
Casablanca - Settat,2023,Rural,1705145
Casablanca - Settat,2022,Rural,1717679
Marrakech - Safi,2023,Total,4896681
Marrakech - Safi,2022,Total,4857033
Marrakech - Safi,2023,Urbain,2184719
Marrakech - Safi,2022,Urbain,2158469
Marrakech - Safi,2023,Rural,2711962
Marrakech - Safi,2022,Rural,2698564
Drâa - Tafilalet,2023,Total,1721357
Drâa - Tafilalet,2022,Total,1712526
Drâa - Tafilalet,2023,Urbain,639296
Drâa - Tafilalet,2022,Urbain,630803
Drâa - Tafilalet,2023,Rural,1082061
Drâa - Tafilalet,2022,Rural,1081723
Souss - Massa,2023,Total,3018226
Souss - Massa,2022,Total,2977128
Souss - Massa,2023,Urbain,1932505
Souss - Massa,2022,Urbain,1881521
Souss - Massa,2023,Rural,1085721
Souss - Massa,2022,Rural,1095607
Guelmim - Oued Noun,2023,Total,452529
Guelmim - Oued Noun,2022,Total,450486
Guelmim - Oued Noun,2023,Urbain,320914
Guelmim - Oued Noun,2022,Urbain,316474
Guelmim - Oued Noun,2023,Rural,131615
Guelmim - Oued Noun,2022,Rural,134012
Laâyoune - Sakia El Hamra,2023,Total,417756
Laâyoune - Sakia El Hamra,2022,Total,412005
Laâyoune - Sakia El Hamra,2023,Urbain,402454
Laâyoune - Sakia El Hamra,2022,Urbain,395865
Laâyoune - Sakia El Hamra,2023,Rural,15302
Laâyoune - Sakia El Hamra,2022,Rural,16140
Dakhla - Oued Ed-Dahab,2023,Total,200847
Dakhla - Oued Ed-Dahab,2022,Total,193127
Dakhla - Oued Ed-Dahab,2023,Urbain,166049
Dakhla - Oued Ed-Dahab,2022,Urbain,158104
Dakhla - Oued Ed-Dahab,2023,Rural,34798
Dakhla - Oued Ed-Dahab,2022,Rural,35023
Dakhla - Oued Ed-Dahab,2023,Urbain,23991045
Dakhla - Oued Ed-Dahab,2022,Urbain,23591583
Dakhla - Oued Ed-Dahab,2023,Rural,13031340
Dakhla - Oued Ed-Dahab,2022,Rural,13078633
