Region,Province_Prefecture,Annee,Ventes_Electricite_Mm_KWh
Tanger - Tétouan - Al Hoceima,Tanger - Tétouan - Al Hoceima,2023,4027.4006
Tanger - Tétouan - Al Hoceima,Tanger - Tétouan - Al Hoceima,2022,4005.2577
Tanger - Tétouan - Al Hoceima,Al Hoceima,2023,214.8958
Tanger - Tétouan - Al Hoceima,Al Hoceima,2022,206.7598
Tanger - Tétouan - Al Hoceima,Chefchaouen,2023,103.7691
Tanger - Tétouan - Al Hoceima,Chefchaouen,2022,99.5204
Tanger - Tétouan - Al Hoceima,Fahs-Anjra,2023,340.2508
Tanger - Tétouan - Al Hoceima,Fahs-Anjra,2022,317.3072
Tanger - Tétouan - Al Hoceima,Larache,2023,448.5349
Tanger - Tétouan - Al Hoceima,Larache,2022,448.6439
Tanger - Tétouan - Al Hoceima,Ouezzane,2023,92.2047
Tanger - Tétouan - Al Hoceima,Ouezzane,2022,90.5828
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,2023,1953.4053
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,2022,1976.1778
Tanger - Tétouan - Al Hoceima,Tétouan,2023,732.0482
Tanger - Tétouan - Al Hoceima,Tétouan,2022,724.3549
Tanger - Tétouan - Al Hoceima,M'Diq-Fnideq,2023,142.2919
Tanger - Tétouan - Al Hoceima,M'Diq-Fnideq,2022,141.9109
L'Oriental,L'Oriental,2023,1800.0324
L'Oriental,L'Oriental,2022,1758.5535
L'Oriental,Berkane,2023,274.6019
L'Oriental,Berkane,2022,267.2889
L'Oriental,Driouch,2023,117.0205
L'Oriental,Driouch,2022,115.39
L'Oriental,Figuig,2023,58.6137
L'Oriental,Figuig,2022,56.2193
L'Oriental,Guercif,2023,88.5016
L'Oriental,Guercif,2022,89.3277
L'Oriental,Jerada,2023,52.564
L'Oriental,Jerada,2022,56.5615
L'Oriental,Nador,2023,565.4339
L'Oriental,Nador,2022,538.467
L'Oriental,Oujda-Angad,2023,494.4226
L'Oriental,Oujda-Angad,2022,484.5928
L'Oriental,Taourirt,2023,148.8741
L'Oriental,Taourirt,2022,150.7065
Fès - Meknès,Fès - Meknès,2023,3081.0883
Fès - Meknès,Fès - Meknès,2022,3008.5977
Fès - Meknès,Meknès,2023,783.2703
Fès - Meknès,Meknès,2022,770.9341
Fès - Meknès,Boulemane,2023,75.6329
Fès - Meknès,Boulemane,2022,73.9539
Fès - Meknès,El Hajeb,2023,243.9608
Fès - Meknès,El Hajeb,2022,241.057
Fès - Meknès,Fès,2023,1147.72
Fès - Meknès,Fès,2022,1116.9916
Fès - Meknès,Ifrane,2023,131.0124
Fès - Meknès,Ifrane,2022,129.9303
Fès - Meknès,Sefrou,2023,192.7096
Fès - Meknès,Sefrou,2022,191.816
Fès - Meknès,Taounate,2023,184.877
Fès - Meknès,Taounate,2022,168.5277
Fès - Meknès,Taza,2023,230.3466
Fès - Meknès,Taza,2022,231.0192
Fès - Meknès,Moulay Yacoub,2023,91.5587
Fès - Meknès,Moulay Yacoub,2022,84.368
Rabat - Salé - Kénitra,Rabat - Salé - Kénitra,2023,4813.0417
Rabat - Salé - Kénitra,Rabat - Salé - Kénitra,2022,4694.4205
Rabat - Salé - Kénitra,Kénitra,2023,1223.7619
Rabat - Salé - Kénitra,Kénitra,2022,1152.4573
Rabat - Salé - Kénitra,Khémisset,2023,336.5698
Rabat - Salé - Kénitra,Khémisset,2022,326.0522
Rabat - Salé - Kénitra,Rabat,2023,1015.4056
Rabat - Salé - Kénitra,Rabat,2022,811.8492
Rabat - Salé - Kénitra,Salé,2023,645.1881
Rabat - Salé - Kénitra,Salé,2022,752.6309
Rabat - Salé - Kénitra,Sidi Kacem,2023,232.461
Rabat - Salé - Kénitra,Sidi Kacem,2022,236.5129
Rabat - Salé - Kénitra,Sidi Slimane,2023,162.2442
Rabat - Salé - Kénitra,Sidi Slimane,2022,199.4888
Rabat - Salé - Kénitra,Skhirate-Témara,2023,1197.411
Rabat - Salé - Kénitra,Skhirate-Témara,2022,1215.4293
Béni Mellal - Khénifra,Béni  Mellal - Khénifra,2023,1852.2548
Béni Mellal - Khénifra,Béni  Mellal - Khénifra,2022,1879.7243
Béni Mellal - Khénifra,Azilal,2023,165.4869
Béni Mellal - Khénifra,Azilal,2022,166.2548
Béni Mellal - Khénifra,Béni  Mellal,2023,431.6746
Béni Mellal - Khénifra,Béni  Mellal,2022,425.456
