Region,Province,Centre,Barrage_Oued,Annee,Production_Eau_m3
Tanger - Tétouan - Al Hoceima,Al Hociema,Al Hociema,Barrage Med Ben Abdelkrim Khettabi,2023,3050099.0
Tanger - Tétouan - Al Hoceima,Al Hociema,Al Hociema,Barrage Med Ben Abdelkrim Khettabi,2022,4858397.0
Tanger - Tétouan - Al Hoceima,,Targuist,Barrage Joumoua,2023,638019.0
Tanger - Tétouan - Al Hoceima,,Targuist,Barrage Joumoua,2022,343363.0
Tanger - Tétouan - Al Hoceima,Larache,Larache et Ksar El Kebir,Barrage Oued El Makhazine,2023,13439192.0
Tanger - Tétouan - Al Hoceima,Larache,Larache et Ksar El Kebir,Barrage Oued El Makhazine,2022,13150979.0
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,Tetouan,Barrage Nakhla,2023,9149049.0
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,Tetouan,Barrage Nakhla,2022,6612350.0
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,Tetouan-Mdiq,Barrage Smir,2023,7676997.0
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,Tetouan-Mdiq,Barrage Smir,2022,5784579.0
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,Chefchaouen,Barrage Moulay Bouchta,2023,668005.0
L'Oriental,Tanger-Assilah,Oujda,Barrage Mechraa Hammadi,2023,11221420.0
L'Oriental,Tanger-Assilah,Oujda,Barrage Mechraa Hammadi,2022,11745719.0
L'Oriental,Tanger-Assilah,Nador,Canal Bouareg,2023,32028707.0
L'Oriental,Tanger-Assilah,Nador,Canal Bouareg,2022,30307780.0
L'Oriental,Tanger-Assilah,Zaio,Canal Zebra,2023,187107.0
L'Oriental,Tanger-Assilah,Zaio,Canal Zebra,2022,154811.0
L'Oriental,Tanger-Assilah,Berkane,Canal Triffa,2023,15309863.0
L'Oriental,Tanger-Assilah,Berkane,Canal Triffa,2022,13480490.0
Fès - Meknès,Tanger-Assilah,Fes,Oued Sebou,2023,18212412.0
Fès - Meknès,Tanger-Assilah,Fes,Oued Sebou,2022,26165319.0
Fès - Meknès,Tanger-Assilah,Taza,Barrage Bab Louta,2023,8134983.0
Fès - Meknès,Tanger-Assilah,Taza,Barrage Bab Louta,2022,8491192.0
