Region,Province_Prefecture,Annee,Nb_Abonnes,Ventes_Abonnes_m3k,Ventes_Regies_m3k,Production_Eau_m3k
Tanger - Tétouan - Al Hoceima,Tanger - Tétouan - Al Hoceima,2023,173885.0,20855.932,125295.487,173489.917
Tanger - Tétouan - Al Hoceima,Al Hoceima,2023,76936.0,7383.109,0.0,14775.105
Tanger - Tétouan - Al Hoceima,Chefchaouen,2023,29697.0,3165.735,0.0,4291.901
Tanger - Tétouan - Al Hoceima,Fahs-Anjra,2023,9309.0,1801.294,240.974,84950.84
Tanger - Tétouan - Al Hoceima,Larache,2023,18092.0,1818.328,9404.743,18544.971
Tanger - Tétouan - Al Hoceima,Ouezzane,2023,30917.0,3494.6,0.0,2559.9
Tanger - Tétouan - Al Hoceima,Tanger-Assilah,2023,2060.0,1517.568,80344.261,19202.727
Tanger - Tétouan - Al Hoceima,Tétouan,2023,6874.0,1654.325,19.166,21487.476
Tanger - Tétouan - Al Hoceima,M'Diq-Fnideq,2023,0.0,20.973,35286.343,7676.997
L'Oriental,L'Oriental,2023,420727.0,44971.757,16609.939,100741.20700000001
L'Oriental,Berkane,2023,111776.0,11663.489,0.0,26088.759
L'Oriental,Driouch,2023,22633.0,2161.429,0.0,186.08
L'Oriental,Figuig,2023,22548.0,2052.315,0.0,3156.269
L'Oriental,Guercif,2023,23383.0,2832.884,0.0,3886.106
L'Oriental,Jerada,2023,22157.0,2291.298,0.0,3132.215
L'Oriental,Nador,2023,156804.0,17273.508,0.0,33014.722
L'Oriental,Oujda-Angad,2023,9230.0,1336.773,9529.684,13086.65
L'Oriental,Taourirt,2023,52196.0,5360.061,7080.255,18190.406
Fès - Meknès,Fès - Meknès,2023,250238.0,31968.894,96187.50000000001,161357.125
Fès - Meknès,Meknès,2023,28784.0,2922.821,6424.484,3070.555
Fès - Meknès,Boulemane,2023,31866.0,2684.713,0.0,3851.766
Fès - Meknès,El Hajeb,2023,43771.0,4816.016,34666.453,33388.284
