Region,Province_Prefecture,Annee,Nb_Autorisations,Nb_Logements,Nb_Pieces,Valeur_Prevue_kDH,Surface_Batie_m2,Surface_Planchers_m2
Tanger - Tétouan - Al Hoceima,Tanger-Tétouan-Al Hoceima,2020,1037.0,2739.0,8198.0,880850.24,144529.33000000002,442335.7
Tanger - Tétouan - Al Hoceima,Al Hoceima,2020,519.0,997.0,2772.0,198173.7,52969.33,155615.7
Tanger - Tétouan - Al Hoceima,Chefchaouen,2020,0.0,0.0,0.0,0.0,0.0,0.0
Tanger - Tétouan - Al Hoceima,Larache,2020,24.0,42.0,111.0,6064.5,1043.0,3851.0
Tanger - Tétouan - Al Hoceima,Ouezzane,2020,22.0,49.0,136.0,116699.4,1106.0,3413.0
Tanger - Tétouan - Al Hoceima,Tanger -Assilah,2020,359.0,989.0,3292.0,158528.4,50580.0,89083.0
Tanger - Tétouan - Al Hoceima,Tétouan,2020,112.0,662.0,1887.0,401288.24,38803.0,190325.0
Tanger - Tétouan - Al Hoceima,M'diq-Fnidq,2020,1.0,0.0,0.0,96.0,28.0,48.0
L'Oriental,Oriental,2020,2565.0,4908.0,15220.0,1819108.151,350570.88,895279.18
L'Oriental,Berkane,2020,430.0,1191.0,3674.0,252879.63,56363.92,138862.22
L'Oriental,Driouch,2020,80.0,164.0,459.0,45936.84,10396.66,25624.81
L'Oriental,Figuig,2020,178.0,254.0,782.0,64375.04,15844.78,36946.76
L'Oriental,Guercif,2020,55.0,79.0,234.0,12829.83,5613.0,11469.83
L'Oriental,Jerada,2020,5.0,2.0,6.0,4835.994,1882.0,1882.0
L'Oriental,Nador,2020,629.0,1212.0,3839.0,646135.997,117553.61,288615.46
L'Oriental,Oujda-Angad,2020,875.0,1364.0,4281.0,603580.96,102796.41,298523.48
L'Oriental,Taourirt,2020,313.0,642.0,1945.0,188533.86,40120.5,93354.62
Fès - Meknès,Fès-Meknès,2020,3428.0,10196.0,33631.0,1677180.038,393999.5,1296520.5499999998
Fès - Meknès,Meknès,2020,1222.0,4598.0,14854.0,637587.0,165144.0,583906.0
Fès - Meknès,Boulemane,2020,323.0,755.0,2451.0,115313.6,26941.0,83639.0
Fès - Meknès,El Hajeb,2020,253.0,454.0,1472.0,81957.3,20535.0,60181.0
Fès - Meknès,Fès,2020,897.0,2443.0,8887.0,446478.115,92969.56,300350.01
Fès - Meknès,Ifrane,2020,136.0,303.0,1035.0,80688.0,16261.0,52232.0
Fès - Meknès,Sefrou,2020,119.0,379.0,1266.0,71765.9,14492.0,44286.0
Fès - Meknès,Taounate,2020,98.0,235.0,666.0,49805.544,9940.5,29484.18
Fès - Meknès,Taza,2020,380.0,1029.0,3000.0,193584.579,47716.44,142442.36
Fès - Meknès,Moulay Yacoub,2020,0.0,0.0,0.0,0.0,0.0,0.0
Rabat - Salé - Kénitra,Rabat-Salé-Kénitra,2020,5674.0,11798.0,33185.0,3819404.079,654076.0,1941167.0
Rabat - Salé - Kénitra,Kénitra,2020,1732.0,3480.0,9771.0,629494.78,136946.0,508129.0
Rabat - Salé - Kénitra,Khémisset,2020,1977.0,3255.0,7751.0,388421.031,106107.0,329038.0
Rabat - Salé - Kénitra,Rabat,2020,85.0,167.0,499.0,828054.153,34254.0,173652.0
Rabat - Salé - Kénitra,Salé,2020,1005.0,2439.0,7534.0,1435743.865,263376.0,626423.0
Rabat - Salé - Kénitra,Sidi Kacem,2020,399.0,893.0,2628.0,128075.2,36792.0,92097.0
Rabat - Salé - Kénitra,Sidi Slimane,2020,331.0,662.0,1794.0,147004.0,31322.0,73502.0
Rabat - Salé - Kénitra,Skhirate- Témara,2020,145.0,902.0,3208.0,262611.05,45279.0,138326.0
Béni Mellal - Khénifra,Béni Mellal-Khénifra,2020,1750.0,3222.0,9082.0,535586.381,144118.0,411498.0
Béni Mellal - Khénifra,Azilal,2020,63.0,119.0,339.0,23232.581,4712.0,11842.0
Béni Mellal - Khénifra,Béni Mellal,2020,92.0,179.0,525.0,41258.6,14299.0,33484.0
Béni Mellal - Khénifra,Fquih Ben Salah,2020,189.0,383.0,1111.0,61629.0,19127.0,53644.0
Béni Mellal - Khénifra,Khénifra,2020,339.0,498.0,1263.0,107242.0,20761.0,52256.0
Béni Mellal - Khénifra,Khouribga,2020,1067.0,2043.0,5844.0,302224.2,85219.0,260272.0
