Region,Annee,Routes_Provinciales_Total_km,Routes_Provinciales_Revetues_km,Routes_Regionales_Total_km,Routes_Nationales_Total_km
Béni Mellal - Khénifra,2023,2433.8929999999996,1948.6579999999994,945.461,938.4289999999999
Casablanca - Settat,2023,3885.049,3306.585,1200.039,796.271
Drâa - Tafilalet,2023,2224.3,1425.5950000000003,1331.27,1841.5700000000002
Fès - Meknès,2023,4665.622,3569.4350000000004,1363.9930000000002,1413.1050000000005
Guelmim - Oued Noun,2023,1619.214,976.714,595.616,785.1119999999997
Laâyoune - Sakia El Hamra,2023,786.91,59.77299999999998,312.2,1719.9680000000003
L'Oriental,2023,2589.893,1594.285,1156.461,1960.1380000000004
Marrakech - Safi,2023,3899.1759999999995,3082.4579999999996,1110.369,1353.1160000000002
Rabat - Salé - Kénitra,2023,3437.5729999999994,2597.8069999999993,969.212,722.6220000000001
Souss - Massa,2023,2413.9600000000005,1971.7750000000003,1668.226,1190.8410000000001
Tanger - Tétouan - Al Hoceima,2023,1164.364,1138.304,583.074,990.1949999999999
