Indicateur,Annee,Valeur
Chiffre d'affaires (En millions de DH),2023,35768.0
Chiffre d'affaires (En millions de DH),2022,34765.0
Nombre de lignes téléphoniques,2023,159.0
Nombre de lignes téléphoniques,2022,151.0
Nombre de lignes téléphoniques fixes,2023,8.0
Nombre de lignes téléphoniques fixes,2022,7.0
Nombre de lignes téléphoniques mobiles,2023,151.0
Nombre de lignes téléphoniques mobiles,2022,144.0
Nombre d'abonnés (en milliers),2023,2869.0
Nombre d'abonnés (en milliers),2022,2645.0
Chiffre d'affaires (en millions de DH),2023,10925.0
Chiffre d'affaires (en millions de DH),2022,10626.0
Nombre d'abonnés (en milliers),2023,55873.0
Nombre d'abonnés (en milliers),2022,52898.0
Part du postpayé (en %),2023,12.48
Part du postpayé (en %),2022,12.54
Part du prépayé (en %),2023,87.52
Part du prépayé (en %),2022,87.46
Chiffre d'affaires  (en millions de DH),2023,24673.0
Chiffre d'affaires  (en millions de DH),2022,23961.0
Nombre d'abonnés à Internet ( en milliers),2023,38287.0
Nombre d'abonnés à Internet ( en milliers),2022,35574.0
Abonnés à Internet par type d'abonnement,2023,38287.0
Abonnés à Internet par type d'abonnement,2022,35574.0
( ADSL)  (en milliers),2023,1588.0
( ADSL)  (en milliers),2022,1556.0
Fibre  optique(FTTH) (en milliers),2023,845.0
Fibre  optique(FTTH) (en milliers),2022,611.0
Internet mobile (en milliers),2023,35685.0
Internet mobile (en milliers),2022,33204.0
Autres offres internet (en milliers),2023,169.0
Autres offres internet (en milliers),2022,202.0
Utilisateurs estimés de l'internet  (en milliers),2023,31051.0
Utilisateurs estimés de l'internet  (en milliers),2022,30347.0
Internet fixe et mobile,2023,34.0
Internet fixe et mobile,2022,29.0
"Facture moyenne mensuelle par client Internet 
(Fixe + mobile) (en DHHT)",2023,36.0
"Facture moyenne mensuelle par client Internet 
(Fixe + mobile) (en DHHT)",2022,30.0
Revenu moyen d'un Go d'Internet mobile (en DHHT),2023,2.22
Revenu moyen d'un Go d'Internet mobile (en DHHT),2022,3.1
