Region,Annee,Nb_Plages
Oriental,2023,16
Oriental,2022,16
Tanger - Tétouan- Al Hoceima,2023,74
Tanger - Tétouan- Al Hoceima,2022,72
Rabat - Salé - Kénitra,2023,18
Rabat - Salé - Kénitra,2022,18
Casablanca - Settat,2023,39
Casablanca - Settat,2022,39
Marrakech - Safi,2023,10
Marrakech - Safi,2022,10
Souss - Massa,2023,17
Souss - Massa,2022,17
Guelmim - Oued noun,2023,8
Guelmim - Oued noun,2022,8
Lâayoune - SaKia El Hamra,2023,9
Lâayoune - SaKia El Hamra,2022,9
Dakhla - Oued Eddahab,2023,5
Dakhla - Oued Eddahab,2022,4
